{ecac6a8b-081f-4806-90ef-62674e4069f8} event:/battle/air-atk
{6f7f238b-71a9-4118-a172-e10ec29fc05f} event:/battle/boom1
{b1c9b4bb-d5fb-4156-a9c0-39fb9a9144cf} event:/battle/boom2
{8a2fe6c5-62b5-43f6-b106-00b6cc574a1e} event:/battle/cannon-155mm
{666d4b63-efe9-484b-8852-9b7cd95c396e} event:/battle/cannon-203mm
{8c22fa06-fb65-4edb-bc0c-6e2eece774f6} event:/battle/cannon-356mm
{53b724c9-6de7-4252-8e8c-2e6539c6c1cf} event:/battle/cannon-air
{e7daa6d5-5de9-4c58-af87-c7afd11c2cc4} event:/battle/cannon-air-overload
{73ffb1f7-34f5-40e8-9d4e-7436373e707c} event:/battle/cannon-main
{493833c4-b4c9-4672-acfa-fddb2f34576d} event:/battle/cannon-main-prepared
{acb436f3-ed01-4132-a537-0c8ba0a2e90b} event:/battle/cannon-sub
{ba2cbe1f-6309-4cbe-904e-f5eb966963c1} event:/battle/hit
{bcff2f31-c3fb-4050-a239-5d64b27bed3c} event:/battle/hit-cirt
{cb0fe920-9de7-49fd-8bd8-d49f18303342} event:/battle/plane
{4f0367e7-615b-41c5-bd58-8a38c4953366} event:/battle/remote-boom
{9bd69473-e4a5-474d-985f-26849aaa5c7e} event:/battle/remote-fire
{027da652-b275-4b7a-8284-cc91a18833ff} event:/battle/remote-fly
{eaa5864a-75a1-4a7f-83fe-2edcd419e1a4} event:/battle/ship-move
{b26bed1e-e4d6-4096-abfa-289491e7fdb1} event:/battle/sink
{03333a83-da28-4698-a98f-59b26e292ab4} event:/battle/torpedo-hit
{1ccac7fa-1c43-4474-ad84-fad38c86a954} event:/battle/torpedo-move
{1b80e51a-ffdd-4f30-804a-fbe519b18bd0} event:/battle/wave
{e0f4330b-5094-436d-bec3-8b1690bc76a8} event:/bgm/backyard
{42960e68-4bf4-4e63-982a-4e189cb50fec} event:/bgm/battle-1
{7ef5b03a-6823-4175-bbeb-f7ba1bcbbdb8} event:/bgm/battle-2
{8c7be8be-8c98-491f-9450-300a9640507a} event:/bgm/battle-boss-1
{ac18cd03-3f34-4c89-8613-7efbbcbac863} event:/bgm/battle-boss-2
{21ead11d-29d5-483f-a9f4-4dafc5143391} event:/bgm/battle-boss-3
{50141248-d233-41d1-9dc8-454e2b39111e} event:/bgm/level
{c7899ec4-c9a9-4e3f-8027-cb67c9f8868e} event:/bgm/login
{40a0f9c5-bc88-4099-9faf-4c06f1569e56} event:/bgm/main
{bc18c790-6f54-43bd-8d09-30cf75cbe847} event:/bgm/story-1
{9b62c028-da30-457e-a776-8aca84ec600b} event:/bgm/story-2
{05878a4c-f224-4cc5-9846-68d93c070441} event:/bgm/story-3
{ee594904-c910-480f-8093-ea0a13d0fa0b} event:/ui/back
{010521ea-0a25-4a88-9d96-7f48f1cf6deb} event:/ui/button
{641ea2c0-4e7e-49fe-9793-dcb0dfdeb242} event:/ui/cancel
{92e33b38-7509-4cbb-b7e7-0f61699a2163} event:/ui/close
{523b855c-3d81-4863-aafb-323721ff7902} event:/ui/confirm
{0d8cc1df-bc54-4309-96c8-be12cb9a3ed5} event:/ui/login
{ba08cdca-e3ac-4e45-a9c3-17f6012da856} event:/ui/main
{47664d05-aff1-4d64-99ac-0d9cc68c2d13} event:/ui/open
{77899356-8d22-4d20-a34d-dc71cb5dc431} event:/ui/panel
{e60863d2-082c-427b-8a4e-00a8fe0ffe54} bus:/
{5dc72505-d8cd-4b39-82c8-cd8a88a6c0d0} bus:/bgm
{bf59070d-f285-432b-8dc5-bc6c76076ad8} bus:/effect
{d883f2cd-9eb6-4055-9e54-d156c3f5c9e3} bus:/effect/battle
{00dc47ed-8a2d-4437-aac7-4d5736d1ba60} bus:/effect/ui
{15eddce0-4973-45db-9a1d-6d2286beca11} bus:/effect/vo
{d7c12ff5-1759-413d-a2d0-45efad922914} bus:/Reverb
{d7a3b6b8-b69f-46c0-8a76-0f25f2ceba0c} bank:/battle
{9d587c15-67b9-4586-9b02-4933bd748174} bank:/bgm-backyard
{26316428-93b6-49c8-9f3e-fb69e2b5aae7} bank:/bgm-battle-1
{8de53121-f3ba-4161-9ea5-435948434960} bank:/bgm-battle-2
{29f78d2d-d87f-4497-a9fe-d6c3f377878d} bank:/bgm-battle-boss-1
{f7e9340b-db60-4acc-b994-519f20c304ab} bank:/bgm-battle-boss-2
{e12aeecf-108b-4d29-b83a-8ee656d1b520} bank:/bgm-battle-boss-3
{d2bd72c9-1d5e-4848-b71c-ddd14affaf91} bank:/bgm-level
{06d13228-2d8a-4198-af30-a0af1ea19938} bank:/bgm-login
{596358a9-2179-4a05-a3a7-8641873ffb0d} bank:/bgm-main
{dd0a5d36-f21c-4e27-8b3e-c1b9796a0366} bank:/bgm-story-1
{4d5559fd-2388-4c53-91cc-d428d832ee38} bank:/bgm-story-2
{c23ed6ff-03ec-426d-8493-2a061891696a} bank:/bgm-story-3
{ee81ff1d-547f-4f2f-a778-8c966ec63d67} bank:/master
